"id","text"
"dark-patterns-buster-502","(189)"
"dark-patterns-buster-503","(189)"
"dark-patterns-buster-504","₹39,900"
"dark-patterns-buster-505","₹39,900"
"dark-patterns-buster-506","Add to Compare"
"dark-patterns-buster-507","Add to Compare"
"dark-patterns-buster-508","Google 30 W Quick Charge 5 A Mobile Charger with Detach..."
"dark-patterns-buster-509","Google 30 W Quick Charge 5 A Mobile Charger with Detach..."
"dark-patterns-buster-510","White"
"dark-patterns-buster-511","White"
"dark-patterns-buster-512","₹1,399"
"dark-patterns-buster-513","₹1,399"
"dark-patterns-buster-514","₹"
"dark-patterns-buster-515","₹"
"dark-patterns-buster-516","2,199"
"dark-patterns-buster-517","2,199"
"dark-patterns-buster-518","36% off"
"dark-patterns-buster-519","36% off"
"dark-patterns-buster-520","Google Pixel Watch 2 Smartwatch"
"dark-patterns-buster-521","Google Pixel Watch 2 Smartwatch"
"dark-patterns-buster-522","Bay Active Strap, Free Size"
"dark-patterns-buster-523","Bay Active Strap, Free Size"
"dark-patterns-buster-524","4.5"
"dark-patterns-buster-525","4.5"
"dark-patterns-buster-526","(189)"
"dark-patterns-buster-527","(189)"
"dark-patterns-buster-528","₹39,900"
"dark-patterns-buster-529","₹39,900"
"dark-patterns-buster-530","Add to Compare"
"dark-patterns-buster-531","Add to Compare"
"dark-patterns-buster-532","Google Pixel 3 XL (NOT PINK, 64 GB)"
"dark-patterns-buster-533","Google Pixel 3 XL (NOT PINK, 64 GB)"
"dark-patterns-buster-534","4 GB RAM"
"dark-patterns-buster-535","4 GB RAM"
"dark-patterns-buster-536","4.6"
"dark-patterns-buster-537","4.6"
"dark-patterns-buster-538","(889)"
"dark-patterns-buster-539","(889)"
"dark-patterns-buster-540","₹22,500"
"dark-patterns-buster-541","₹22,500"
"dark-patterns-buster-542","₹"
"dark-patterns-buster-543","₹"
"dark-patterns-buster-544","24,999"
"dark-patterns-buster-545","24,999"
"dark-patterns-buster-546","9% off"
"dark-patterns-buster-547","9% off"
"dark-patterns-buster-548","Add to Compare"
"dark-patterns-buster-549","Add to Compare"
"dark-patterns-buster-550","Google Pixel 6a (Charcoal, 128 GB)"
"dark-patterns-buster-551","Google Pixel 6a (Charcoal, 128 GB)"
"dark-patterns-buster-552","6 GB RAM"
"dark-patterns-buster-553","6 GB RAM"
"dark-patterns-buster-554","4.3"
"dark-patterns-buster-555","4.3"
"dark-patterns-buster-556","(72,749)"
"dark-patterns-buster-557","(72,749)"
"dark-patterns-buster-558","₹43,999"
"dark-patterns-buster-559","₹43,999"
"dark-patterns-buster-560","Add to Compare"
"dark-patterns-buster-561","Add to Compare"
"dark-patterns-buster-562","Google Pixel 6a (Chalk, 128 GB)"
"dark-patterns-buster-563","Google Pixel 6a (Chalk, 128 GB)"
"dark-patterns-buster-564","6 GB RAM"
"dark-patterns-buster-565","6 GB RAM"
"dark-patterns-buster-566","4.3"
"dark-patterns-buster-567","4.3"
"dark-patterns-buster-568","(72,749)"
"dark-patterns-buster-569","(72,749)"
"dark-patterns-buster-570","₹43,999"
"dark-patterns-buster-571","₹43,999"
"dark-patterns-buster-572","Add to Compare"
"dark-patterns-buster-573","Add to Compare"
"dark-patterns-buster-574","Google Pixel 3 (Pink, 64 GB)"
"dark-patterns-buster-575","Google Pixel 3 (Pink, 64 GB)"
"dark-patterns-buster-576","4 GB RAM"
"dark-patterns-buster-577","4 GB RAM"
"dark-patterns-buster-578","4.5"
"dark-patterns-buster-579","4.5"
"dark-patterns-buster-580","(1,462)"
"dark-patterns-buster-581","(1,462)"
"dark-patterns-buster-582","₹21,500"
"dark-patterns-buster-583","₹21,500"
"dark-patterns-buster-584","₹"
"dark-patterns-buster-585","₹"
"dark-patterns-buster-586","22,999"
"dark-patterns-buster-587","22,999"
"dark-patterns-buster-588","6% off"
"dark-patterns-buster-589","6% off"
"dark-patterns-buster-590","Add to Compare"
"dark-patterns-buster-591","Add to Compare"
"dark-patterns-buster-592","Google Back Cover for Google Pixel 8"
